Origin,Mode,Year,Value,Tons,Total_miles,Mean_miles
Wyoming,Single modes,2012,24246,411247,460849,147
Wyoming,Single modes,2007,20720,529234,549472,174
Wyoming,Truck,2012,13111,15308,5871,104
Wyoming,Truck,2007,12555,30718,7166,105
Wyoming,For-hire truck,2012,8092,9548,5128,226
Wyoming,For-hire truck,2007,5181,15849,5986,415
Wyoming,Private truck,2012,5019,5760,743,50
Wyoming,Private truck,2007,7374,14870,1180,57
Wyoming,Rail,2012,8667,393344,454929,1374
Wyoming,Rail,2007,6485,484873,538992,1193
Wyoming,Air (incl truck and air),2012,15,Z,Z,1544
Wyoming,Air (incl truck and air),2007,18,Z,1,1565
Wyoming,Pipeline,2012,S,S,S,S
Wyoming,Pipeline,2007,1662,13642,S,S
Wyoming,Multiple modes,2012,957,745,S,840
Wyoming,Multiple modes,2007,1727,S,S,1013
Wyoming,"Parcel, U.S.P.S. or courier",2012,882,18,15,840
Wyoming,"Parcel, U.S.P.S. or courier",2007,S,24,22,1012
Wyoming,Truck and rail,2012,68,339,384,1400
Wyoming,Truck and rail,2007,39,183,208,1109
Wyoming,Truck and water,2012,S,S,S,S
Wyoming,Truck and water,2007,S,S,S,S
Wyoming,Rail and water,2012,S,S,S,S
Wyoming,Rail and water,2007,S,S,S,S
Wyoming,Other modes,2012,268,9934,26,2
Wyoming,Other modes,2007,S,S,S,S
