Origin,Mode,Year,Value,Tons,Total_miles,Mean_miles
Illinois,Air (incl truck and air),2012,11390,163,173,951
Illinois,Air (incl truck and air),2007,7866,93,104,1133
Illinois,Pipeline,2012,39021,47066,S,S
Illinois,Pipeline,2007,33265,52351,S,S
Illinois,Multiple modes,2012,139912,25021,16508,674
Illinois,Multiple modes,2007,122640,52530,32214,747
Illinois,"Parcel, U.S.P.S. or courier",2012,112700,2058,1343,674
Illinois,"Parcel, U.S.P.S. or courier",2007,104717,2070,1409,746
Illinois,Truck and rail,2012,23373,15119,10989,1083
Illinois,Truck and rail,2007,14462,14406,11528,854
Illinois,Truck and water,2012,3210,4191,2365,1435
Illinois,Truck and water,2007,2922,32087,14656,S
Illinois,Rail and water,2012,S,S,S,S
Illinois,Rail and water,2007,80,329,371,3174
Illinois,Other multiple modes,2012,S,S,S,S
Illinois,Other multiple modes,2007,460,3637,4250,3830
Illinois,Other modes,2012,0,0,0,0
Illinois,Other modes,2007,12826,6150,1415,94
Indiana,All modes,2012,393998,324668,66176,524
Indiana,All modes,2007,355503,379374,75389,491
Indiana,Single modes,2012,346036,316081,61487,240
Indiana,Single modes,2007,303707,355473,65706,244
Indiana,Truck,2012,302165,246671,38675,221
Indiana,Truck,2007,281871,295034,44600,229
Indiana,For-hire truck,2012,226205,162078,33699,436
Indiana,For-hire truck,2007,193929,169588,36864,513
Indiana,Private truck,2012,75960,84593,4976,41
Indiana,Private truck,2007,87943,125446,7736,59
Indiana,Rail,2012,17975,41382,17127,632
Indiana,Rail,2007,19276,56048,20442,644
Indiana,Water,2012,1217,9234,5491,527
Indiana,Water,2007,S,3586,S,152
Indiana,Inland water,2012,169,5617,1170,S
Indiana,Inland water,2007,S,3586,S,152
Indiana,Multiple Waterways,2012,1048,3618,4321,1188
Indiana,Multiple Waterways,2007,X,X,X,X
Indiana,Air (incl truck and air),2012,7489,S,85,1173
Indiana,Air (incl truck and air),2007,2046,37,41,923
Indiana,Pipeline,2012,S,18708,S,S
Indiana,Pipeline,2007,463,768,S,S
Indiana,Multiple modes,2012,47962,8588,4688,753
Indiana,Multiple modes,2007,43337,13455,8805,736
Indiana,"Parcel, U.S.P.S. or courier",2012,40853,461,315,753
Indiana,"Parcel, U.S.P.S. or courier",2007,32886,841,558,734
Indiana,Truck and rail,2012,6900,7508,4165,707
Indiana,Truck and rail,2007,9542,8014,4938,940
Indiana,Truck and water,2012,191,S,126,S
Indiana,Truck and water,2007,279,3223,1693,S
Indiana,Rail and water,2012,S,S,S,464
Indiana,Rail and water,2007,S,S,S,S
Indiana,Other multiple modes,2012,0,0,0,0
Indiana,Other multiple modes,2007,300,1308,1474,S
Indiana,Other modes,2012,0,0,0,0
Indiana,Other modes,2007,8458,S,878,122
Iowa,All modes,2012,195992,263357,85170,376
Iowa,All modes,2007,156920,241008,73213,337
Iowa,Single modes,2012,175404,247764,69070,158
Iowa,Single modes,2007,139410,229021,61195,151
Iowa,Truck,2012,151533,199551,23135,145
Iowa,Truck,2007,126849,191811,27735,141
Iowa,For-hire truck,2012,97022,103184,18429,327
Iowa,For-hire truck,2007,80169,92133,21123,364
Iowa,Private truck,2012,54511,96367,4706,54
Iowa,Private truck,2007,46680,99678,6613,62
Iowa,Rail,2012,21700,44718,43035,911
Iowa,Rail,2007,10203,31307,26200,860
Iowa,Water,2012,1468,3375,2864,891
Iowa,Water,2007,1130,5888,7230,1227
Iowa,Inland water,2012,1468,3375,2864,891
Iowa,Inland water,2007,1130,5888,7230,1227
Iowa,Air (incl truck and air),2012,584,22,31,1144
Iowa,Air (incl truck and air),2007,1227,14,S,1124
Iowa,Pipeline,2012,119,98,S,S
Iowa,Pipeline,2007,0,0,S,S
Iowa,Multiple modes,2012,20588,15593,16100,632
Iowa,Multiple modes,2007,14415,11008,S,693
Iowa,"Parcel, U.S.P.S. or courier",2012,11599,260,145,631
Iowa,"Parcel, U.S.P.S. or courier",2007,10372,285,192,691
Iowa,Truck and rail,2012,6820,10098,10090,813
Iowa,Truck and rail,2007,3139,6477,5689,817
Iowa,Truck and water,2012,S,S,S,2132
Iowa,Truck and water,2007,S,S,S,2473
Iowa,Rail and water,2012,107,341,330,2064
Iowa,Rail and water,2007,S,S,S,1394
Iowa,Other multiple modes,2012,0,0,0,0
Iowa,Other multiple modes,2007,S,S,S,2883
Iowa,Other modes,2012,0,0,0,0
Iowa,Other modes,2007,3095,978,366,32
Kansas,All modes,2012,218973,193929,70888,548
Kansas,All modes,2007,149210,178327,41690,570
Kansas,Single modes,2012,193076,182944,57160,336
Kansas,Single modes,2007,126851,173009,37471,233
Kansas,Truck,2012,180201,151496,24448,309
Kansas,Truck,2007,105121,148320,22681,218
Kansas,For-hire truck,2012,124432,93297,21174,584
Kansas,For-hire truck,2007,67710,95135,18175,398
Kansas,Private truck,2012,55769,58199,3273,46
Kansas,Private truck,2007,37411,53186,4506,103
Kansas,Rail,2012,9672,31416,S,1094
Kansas,Rail,2007,7362,20229,14628,678
Kansas,Air (incl truck and air),2012,3203,32,52,1004
Kansas,Air (incl truck and air),2007,11722,S,85,984
Kansas,Pipeline,2012,0,0,S,S
Kansas,Pipeline,2007,2646,4381,S,S
Kansas,Multiple modes,2012,25897,S,S,684
Kansas,Multiple modes,2007,18114,4320,4028,819
Kansas,"Parcel, U.S.P.S. or courier",2012,18618,610,428,683
Kansas,"Parcel, U.S.P.S. or courier",2007,15158,466,314,818
Kansas,Truck and rail,2012,6544,S,S,1141
Kansas,Truck and rail,2007,2779,3840,3670,1272
Kansas,Truck and water,2012,S,S,99,1681
Kansas,Truck and water,2007,S,S,26,3261
Kansas,Rail and water,2012,0,0,0,0
Kansas,Rail and water,2007,S,S,S,S
Kansas,Other multiple modes,2012,0,0,0,0
Kansas,Other multiple modes,2007,S,S,S,S
Kansas,Other modes,2012,0,0,0,0
Kansas,Other modes,2007,S,998,191,S
Kentucky,All modes,2012,268530,285812,88294,733
